実行日時,対象開始日時,対象終了日時,日付,シフト,ライン,設備ID,設備名,サイクルタイム_分,計画時間_分,想定停止時間_分,想定稼働時間_分,想定稼働率_%,実停止時間_分,稼働時間_分,実績稼働率_%,停止理由,生産数,不良数
2026-05-27 21:11:33,2026-05-27 15:11:33,2026-05-27 21:11:33,2026-05-27,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,18,297,94.3,品質確認,11,0
2026-05-27 21:11:33,2026-05-27 15:11:33,2026-05-27 21:11:33,2026-05-27,夜勤,Line-A,MC-002,加工機,36,315,31,284,90.2,29,286,90.8,清掃,7,0
2026-05-27 21:11:33,2026-05-27 15:11:33,2026-05-27 21:11:33,2026-05-27,夜勤,Line-B,MC-003,検査機,20,315,15,300,95.2,20,295,93.7,清掃,14,0
2026-05-27 21:11:33,2026-05-27 15:11:33,2026-05-27 21:11:33,2026-05-27,夜勤,Line-B,MC-004,包装機,15,315,22,293,93.0,24,291,92.4,品質確認,19,0
2026-05-27 21:11:33,2026-05-27 15:11:33,2026-05-27 21:11:33,2026-05-27,夜勤,Line-C,MC-005,組立機,20,315,37,278,88.3,32,283,89.8,品質確認,14,0
2026-05-27 21:11:33,2026-05-27 15:11:33,2026-05-27 21:11:33,2026-05-27,夜勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,10,305,96.8,なし,13,0
2026-05-30 12:18:57,2026-05-30 06:18:57,2026-05-30 12:18:57,2026-05-30,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,38,277,87.9,品質確認,11,0
2026-05-30 12:18:57,2026-05-30 06:18:57,2026-05-30 12:18:57,2026-05-30,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,28,287,91.1,品質確認,7,0
2026-05-30 12:18:57,2026-05-30 06:18:57,2026-05-30 12:18:57,2026-05-30,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,27,288,91.4,品質確認,14,0
2026-05-30 12:18:57,2026-05-30 06:18:57,2026-05-30 12:18:57,2026-05-30,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,29,286,90.8,品質確認,19,0
2026-05-30 12:18:57,2026-05-30 06:18:57,2026-05-30 12:18:57,2026-05-30,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,112,203,64.4,設備異常,10,0
2026-05-30 12:18:57,2026-05-30 06:18:57,2026-05-30 12:18:57,2026-05-30,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,7,308,97.8,チョコ停,14,0
2026-05-30 12:56:57,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,29,286,90.8,段取り替え,11,0
2026-05-30 12:56:57,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,32,283,89.8,材料待ち,7,0
2026-05-30 12:56:57,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,22,293,93.0,清掃,14,0
2026-05-30 12:56:57,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,43,272,86.3,材料待ち,18,0
2026-05-30 12:56:57,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,24,291,92.4,品質確認,14,0
2026-05-30 12:56:57,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,19,296,94.0,品質確認,13,0
2026-05-30 12:36:42,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,3,312,99.0,なし,12,0
2026-05-30 12:36:42,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,58,257,81.6,材料待ち,7,0
2026-05-30 12:36:42,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,66,249,79.0,設備異常,12,0
2026-05-30 12:36:42,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,5,310,98.4,なし,20,0
2026-05-30 12:36:42,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,18,297,94.3,チョコ停,14,0
2026-05-30 12:36:42,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,72,243,77.1,設備異常,11,0
2026-05-30 16:00:37,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,35,280,88.9,品質確認,11,0
2026-05-30 16:00:37,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,30,285,90.5,清掃,7,0
2026-05-30 16:00:37,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,17,298,94.6,チョコ停,14,0
2026-05-30 16:00:37,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,14,301,95.6,清掃,20,0
2026-05-30 16:00:37,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,28,287,91.1,清掃,14,0
2026-05-30 16:00:37,2026-05-30 06:00:00,2026-05-30 12:00:00,2026-05-30,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,14,301,95.6,清掃,13,0
2026-05-30 21:55:07,2026-05-30 12:00:00,2026-05-30 18:00:00,2026-05-30,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,14,301,95.6,清掃,12,0
2026-05-30 21:55:07,2026-05-30 12:00:00,2026-05-30 18:00:00,2026-05-30,夜勤,Line-A,MC-002,加工機,36,315,31,284,90.2,28,287,91.1,清掃,7,0
2026-05-30 21:55:07,2026-05-30 12:00:00,2026-05-30 18:00:00,2026-05-30,夜勤,Line-B,MC-003,検査機,20,315,15,300,95.2,20,295,93.7,段取り替え,14,0
2026-05-30 21:55:07,2026-05-30 12:00:00,2026-05-30 18:00:00,2026-05-30,夜勤,Line-B,MC-004,包装機,15,315,22,293,93.0,29,286,90.8,品質確認,19,0
2026-05-30 21:55:07,2026-05-30 12:00:00,2026-05-30 18:00:00,2026-05-30,夜勤,Line-C,MC-005,組立機,20,315,37,278,88.3,47,268,85.1,段取り替え,13,0
2026-05-30 21:55:07,2026-05-30 12:00:00,2026-05-30 18:00:00,2026-05-30,夜勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,27,288,91.4,品質確認,13,0
